employee_name,user_id,username,department,role,O,C,E,A,N
Allison Hill,U0000,allison.hill,HR,Employee,3.19,3.06,4.21,4.19,4.18
Noah Rhodes,U0001,noah.rhodes,HR,Employee,3.76,2.57,2.6,4.12,3.13
Angie Henderson,U0002,angie.henderson,Finance,Manager,2.9,3.56,2.83,3.04,3.79
Daniel Wagner,U0003,daniel.wagner,Operations,Senior Manager,4.01,4.52,4.19,3.84,4.42
Cristian Santos,U0004,cristian.santos,Operations,Employee,4.26,2.61,2.68,3.22,1.74
Connie Lawrence,U0005,connie.lawrence,Legal,Manager,3.41,3.43,2.63,3.17,4.31
Abigail Shaffer,U0006,abigail.shaffer,Sales,Employee,3.45,4.97,3.92,3.89,3.55
Gina Moore,U0007,gina.moore,Engineering,Employee,3.03,4.86,4.63,3.29,3.47
Gabrielle Davis,U0008,gabrielle.davis,IT,Employee,3.9,3.16,3.75,4.74,2.7
Ryan Munoz,U0009,ryan.munoz,HR,Manager,4.65,2.88,2.48,4.2,3.29
Monica Herrera,U0010,monica.herrera,Marketing,Admin,4.65,2.53,4.16,4.2,3.11
Jamie Arnold,U0011,jamie.arnold,Engineering,Employee,2.51,4.31,4.16,4.93,3.79
Lisa Hensley,U0012,lisa.hensley,Sales,Employee,4.41,3.85,4.34,3.83,1.5
Michele Williams,U0013,michele.williams,Operations,Senior Manager,4.58,3.27,2.17,4.7,4.34
Dylan Miller,U0014,dylan.miller,IT,Employee,3.69,3.87,2.8,4.68,2.77
Brian Ramirez,U0015,brian.ramirez,Operations,Employee,3.79,2.8,2.67,3.35,3.26
Holly Wood,U0016,holly.wood,Finance,Employee,4.76,4.65,2.21,3.1,3.51
Derek Zuniga,U0017,derek.zuniga,Legal,Employee,3.68,3.52,2.28,4.15,2.56
Lisa Jackson,U0018,lisa.jackson,HR,Employee,4.32,4.5,2.33,2.98,3.11
Carla Gray,U0019,carla.gray,Legal,Employee,4.81,3.61,4.58,3.88,1.65
Margaret Hawkins DDS,U0020,margaret.hawkins.dds,Engineering,Employee,3.03,3.5,2.18,3.45,4.46
Patty Perez,U0021,patty.perez,Legal,Employee,3.24,4.92,3.74,3.86,3.74
Ethan Adams,U0022,ethan.adams,IT,Employee,3.77,4.63,2.21,2.67,4.09
Tommy Walter,U0023,tommy.walter,Finance,Manager,3.55,3.96,3.57,4.84,2.11
Matthew Foster,U0024,matthew.foster,IT,Manager,3.25,3.29,4.26,2.68,2.87
Judy Baker,U0025,judy.baker,Marketing,Employee,3.37,2.67,2.73,3.21,2.81
Justin Baker,U0026,justin.baker,HR,Director,2.84,2.79,2.32,3.88,2.32
Stephanie Ross,U0027,stephanie.ross,Marketing,Employee,3.13,4.77,2.15,4.09,3.99
Zachary Hicks,U0028,zachary.hicks,Marketing,Employee,3.6,4.26,3.68,2.78,4.34
Anthony Rodriguez,U0029,anthony.rodriguez,IT,Employee,2.6,3.41,4.8,4.93,1.62
Rebecca Henderson,U0030,rebecca.henderson,HR,Employee,3.9,4.69,4.92,4.37,4.28
James Ferrell,U0031,james.ferrell,Finance,Employee,4.81,4.46,3.24,4.17,3.71
Tricia Valencia,U0032,tricia.valencia,HR,Employee,2.6,3.68,2.6,4.8,2.55
Nathan Maldonado,U0033,nathan.maldonado,Sales,Employee,3.2,2.67,4.32,3.38,3.03
Debra Davidson,U0034,debra.davidson,IT,Employee,4.96,2.6,3.79,3.36,3.86
Jeffrey Chavez,U0035,jeffrey.chavez,Sales,Employee,4.27,2.5,4.78,3.85,3.66
Sherri Baker,U0036,sherri.baker,Operations,Manager,4.16,2.81,4.7,3.77,3.5
Cassandra Gaines,U0037,cassandra.gaines,IT,Employee,4.16,3.45,4.24,2.94,3.21
Elizabeth Fowler,U0038,elizabeth.fowler,Sales,Employee,3.95,4.14,3.39,3.61,2.14
Brittany Farmer,U0039,brittany.farmer,Operations,Employee,4.88,3.09,2.93,4.52,1.94
Paula Moreno,U0040,paula.moreno,HR,Employee,4.72,3.94,4.16,3.46,2.7
Fred Smith,U0041,fred.smith,Sales,Employee,4.89,3.79,2.15,3.12,4.05
Sherry Decker,U0042,sherry.decker,Operations,Director,4.73,4.03,4.16,3.76,3.99
Anthony Humphrey,U0043,anthony.humphrey,Marketing,Manager,4.6,3.19,4.33,3.71,2.22
Angelica Tucker,U0044,angelica.tucker,Marketing,Employee,4.73,2.7,2.45,3.46,1.96
Philip Cannon,U0045,philip.cannon,Operations,Employee,3.54,3.02,3.26,4.76,3.25
John Pierce,U0046,john.pierce,Operations,Employee,3.47,4.73,4.51,3.85,3.7
Shane Henderson,U0047,shane.henderson,Engineering,Employee,3.47,4.17,4.39,4.31,4.02
Joshua Blair,U0048,joshua.blair,Finance,Employee,3.57,4.67,2.55,3.15,2.48
Eric Carney,U0049,eric.carney,Marketing,Manager,4.58,3.13,2.25,2.55,3.12
